transaction_id,lead_id,customer_id,vehicle_id,transaction_date,final_price_inr,loan_amount,loan_tenure_months,interest_rate,emi_amount,payment_mode,created_at,tx_month,tx_year,tx_quarter,is_loan,full_name,city,state,country,currency_code_customer,annual_income_local,annual_income_usd,monthly_income_local,monthly_income_usd,credit_score,employment_type,income_segment,credit_band,make,model,segment,fuel_type,price_local,currency_code_vehicle,price_usd_equivalent,price_segment,emi_amount_usd,affordability_ratio,is_affordable
1,1,112,23,2024-02-11,57943925.0,43457944.0,84,9.24,704503.0,Loan,2026-07-10 09:27:06,2,2024,1,1,Lakshmi Nair,Ahmedabad,Gujarat,India,INR,4910381.0,52541.08,409198.42,4378.42,614,Self-Employed,$30–60K,Fair (550–650),Lamborghini,Revuelto,Hypercar,Hybrid,620000.0,USD,620000.0,Ultra ($150K+),7538.18,1.7217,0
2,2,125,19,2024-07-17,8317757.0,6654206.0,48,8.76,164832.92,Loan,2026-07-10 09:27:06,7,2024,3,1,Anitha Singh,Jaipur,Rajasthan,India,INR,6076817.0,65021.94,506401.42,5418.5,850,Business,$60–120K,Excellent (750–900),Audi,Q7,Luxury,Petrol,89000.0,USD,89000.0,Premium ($60–150K),1763.71,0.3255,1
3,3,120,13,2024-09-30,2299000.0,1724250.0,84,13.37,31715.37,Loan,2026-07-10 09:27:06,9,2024,3,1,Pooja Pillai,Lucknow,Uttar Pradesh,India,INR,3014181.0,32251.74,251181.75,2687.64,856,Self-Employed,$30–60K,Excellent (750–900),MG,ZS EV,EV,Electric,2299000.0,INR,24599.3,Mid ($15–30K),339.35,0.1263,1
4,5,7,10,2024-09-17,2350000.0,2115000.0,84,13.23,38740.96,Loan,2026-07-10 09:27:06,9,2024,3,1,Pooja Reddy,Kolkata,West Bengal,India,INR,566941.0,6066.27,47245.08,505.52,717,Salaried,<$10K,Good (650–750),Mahindra,Scorpio-N,SUV,Diesel,2350000.0,INR,25145.0,Mid ($15–30K),414.53,0.82,0
5,6,75,16,2025-12-08,5500000.0,4675000.0,24,7.78,210968.82,Loan,2026-07-10 09:27:06,12,2025,4,1,Rekha Gupta,Hyderabad,Telangana,India,INR,1119009.0,11973.4,93250.75,997.78,676,Salaried,$10–30K,Good (650–750),BMW,3 Series,Luxury,Diesel,5500000.0,INR,58850.0,Upper-Mid ($30–60K),2257.37,2.2624,0
6,7,137,14,2025-07-25,1150000.0,828000.0,48,10.77,21307.73,Loan,2026-07-10 09:27:06,7,2025,3,1,Manoj Iyer,Jaipur,Rajasthan,India,INR,3441485.0,36823.89,286790.42,3068.66,812,Self-Employed,$30–60K,Excellent (750–900),Maruti Suzuki,Ertiga,MUV,CNG,1150000.0,INR,12305.0,Economy ($5–15K),227.99,0.0743,1
7,9,28,1,2024-03-24,350000.0,301000.0,24,13.81,14424.88,Loan,2026-07-10 09:27:06,3,2024,1,1,Nisha Reddy,Delhi,Delhi,India,INR,1794882.0,19205.24,149573.5,1600.44,814,Salaried,$10–30K,Excellent (750–900),Maruti Suzuki,Alto K10,Hatchback,Petrol,350000.0,INR,3745.0,Budget (<$5K),154.35,0.0964,1
8,10,91,2,2025-04-03,850000.0,603500.0,72,13.14,12159.36,Loan,2026-07-10 09:27:06,4,2025,2,1,Rahul Kumar,Bengaluru,Karnataka,India,INR,743066.0,7950.81,61922.17,662.57,797,Self-Employed,<$10K,Excellent (750–900),Maruti Suzuki,Swift,Hatchback,Petrol,850000.0,INR,9095.0,Economy ($5–15K),130.11,0.1964,1
9,18,75,11,2024-09-04,1800000.0,1494000.0,84,10.22,24972.33,Loan,2026-07-10 09:27:06,9,2024,3,1,Rekha Gupta,Hyderabad,Telangana,India,INR,1119009.0,11973.4,93250.75,997.78,676,Salaried,$10–30K,Good (650–750),Kia,Seltos,SUV,Petrol,1800000.0,INR,19260.0,Mid ($15–30K),267.2,0.2678,1
10,23,2,8,2025-10-01,1650000.0,1171500.0,72,11.22,22430.65,Loan,2026-07-10 09:27:06,10,2025,4,1,Rajesh Singh,Kolkata,West Bengal,India,INR,1713904.0,18338.77,142825.33,1528.23,887,Self-Employed,$10–30K,Excellent (750–900),Tata,Nexon,SUV,Petrol,1650000.0,INR,17655.0,Mid ($15–30K),240.01,0.1571,1
11,28,89,1,2025-04-16,350000.0,283500.0,60,9.39,5938.8,Loan,2026-07-10 09:27:06,4,2025,2,1,Ravi Mehta,Pune,Maharashtra,India,INR,1168946.0,12507.72,97412.17,1042.31,869,Salaried,$10–30K,Excellent (750–900),Maruti Suzuki,Alto K10,Hatchback,Petrol,350000.0,INR,3745.0,Budget (<$5K),63.55,0.061,1
